og_record_id,system_ref,system_name_en,system_name_fr,department_en,department_fr,department_code,portal_department_code,branch,submission_count,first_submission_label,latest_submission_label,current_submission_id,current_impact_level,current_score_pct,portal_url_en,service_count,service_ids,service_names_en,service_match_confidence,crosswalk_status
92d7bc61-3724-44cd-9917-e2bf75023d4e,15,LMIA Summary of Information,Évaluation de l'incidence algorithmique - Résumé des informations sur le EIMT,Employment and Social Development Canada,Emploi et Développement social Canada,014,esdc-edsc,TFWPB,1,Original,Original,92d7bc61-3724-44cd-9917-e2bf75023d4e-1,1,22.2,https://open.canada.ca/data/en/dataset/92d7bc61-3724-44cd-9917-e2bf75023d4e,,,,,
94d9dd91-803a-458c-a381-db6a22c9571a,16,Electronic Social Insurance Number Automation (eSINa),Automatisation du numéro d’assurance sociale électronique (aNASe),Employment and Social Development Canada,Emploi et Développement social Canada,014,esdc-edsc,Integrity Services Branch,1,Original,Original,94d9dd91-803a-458c-a381-db6a22c9571a-1,1,24.6,https://open.canada.ca/data/en/dataset/94d9dd91-803a-458c-a381-db6a22c9571a,,,,,
9addf54a-7148-459f-b785-0e240414ef7f,17,Mental Health Benefit,Avantages pour la santé mentale,Veterans Affairs Canada,Anciens Combattants Canada,021,vac-acc,Corporate Services,1,Original,Original,9addf54a-7148-459f-b785-0e240414ef7f-1,2,44.9,https://open.canada.ca/data/en/dataset/9addf54a-7148-459f-b785-0e240414ef7f,,,,,
aafdfbcd-1cdb-4913-84d5-a03df727680c,18,Automation Development to Support Disability Benefit Decision Making,Résultats de l'évaluation de l'incidence algorithmique - Développement de l’automatisation à l’appui de la prise de décisions en matière de prestations d’invalidité,Veterans Affairs Canada,Anciens Combattants Canada,021,vac-acc,Corporate Services,1,Original,Original,aafdfbcd-1cdb-4913-84d5-a03df727680c-1,3,52.3,https://open.canada.ca/data/en/dataset/aafdfbcd-1cdb-4913-84d5-a03df727680c,,,,,
ad4be3b8-ac97-4dc1-8dd8-231239d018f2,19,Automation Tools to help process privately sponsored refugee applications,Utilisation d’outils d’automatisation pour accélérer le traitement des demandes de réfugiés parrainés par le secteur privé,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",050,cic,Various branches at IRCC,1,Original,Original,ad4be3b8-ac97-4dc1-8dd8-231239d018f2-1,2,45.8,https://open.canada.ca/data/en/dataset/ad4be3b8-ac97-4dc1-8dd8-231239d018f2,,,,,
afc17416-3781-422d-a4a9-cc55e3a053c8,20,ArriveCAN Proof of Vaccination Recognition,Évaluation de l'incidence algorithmique - Reconnaissance de preuve de vaccination d'ArriveCAN,Public Health Agency of Canada,Agence de la santé publique du Canada,148,phac-aspc,Corporate Data and Surveillance Branch,1,Original,Original,afc17416-3781-422d-a4a9-cc55e3a053c8-1,2,43.9,https://open.canada.ca/data/en/dataset/afc17416-3781-422d-a4a9-cc55e3a053c8,,,,,
b3dc23b6-8c06-4c45-bc65-4cb4ec30bf80,21,Temporary Foreign Worker Program Case Selection Algorithm,Évaluation de l'incidence algorithmique - Algorithme de sélection des cas du Programme des travailleurs étrangers temporaires,Employment and Social Development Canada,Emploi et Développement social Canada,014,esdc-edsc,Integrity Services Branch and Temporary Foreign Worker Branch,1,Original,Original,b3dc23b6-8c06-4c45-bc65-4cb4ec30bf80-1,1,23.8,https://open.canada.ca/data/en/dataset/b3dc23b6-8c06-4c45-bc65-4cb4ec30bf80,,,,,
b4a417f7-5040-4328-9863-bb8bbb8568c3,22,Modèle de recevabilité du permis de travail d’Expérience internationale Canada (EIC),International Experience Canada (IEC) Work Permit Eligibility Model,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",050,cic,Diverses directions générales d’IRCC,1,Original,Original,b4a417f7-5040-4328-9863-bb8bbb8568c3-1,2,28.6,https://open.canada.ca/data/en/dataset/b4a417f7-5040-4328-9863-bb8bbb8568c3,,,,,
b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d,23,Automate the review of non-complex applications for Temporary Resident Visas and Work Permits made under the Canada-Ukraine Authorization for Emergency Travel (CUAET),Automatiser l'examen des demandes non complexes de visa de résident temporaire et de permis de travail faites dans le cadre de l'Autorisation de voyage d'urgence Canada-Ukraine (AVUCU),"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",050,cic,Various Branches at IRCC,1,Original,Original,b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d-1,2,39.3,https://open.canada.ca/data/en/dataset/b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d,,,,,
c088f841-2d79-4c7e-9281-cc65cbae1b06,24,Pre-load Air Cargo Targeting (PACT) Program,Ciblage du fret aérien préalable au chargement (CFAPC),Transport Canada,Transports Canada,034,tc,Passenger Protect Program and Targeting Operations,1,Original,Original,c088f841-2d79-4c7e-9281-cc65cbae1b06-1,2,38.9,https://open.canada.ca/data/en/dataset/c088f841-2d79-4c7e-9281-cc65cbae1b06,,,,,
cea9985f-5e0f-425e-9b7e-e1d122272c56,25,ATIP Digital Services,Services numériques d’AIPRP,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,056,tbs-sct,CIOB,3,2021 Update,2022 Update,cea9985f-5e0f-425e-9b7e-e1d122272c56-3,2,30.8,https://open.canada.ca/data/en/dataset/cea9985f-5e0f-425e-9b7e-e1d122272c56,,,,,
d24ae2dd-8399-4b49-8441-3e0318aaf69a,26,Repayment Assistance Plan – Enhanced Verification Model (RAP-EVM),Évaluation de l'incidence algorithmique - le Programme d'aide au remboursement - Modèle de vérification amélioré,Employment and Social Development Canada,Emploi et Développement social Canada,014,esdc-edsc,Learning,1,Original,Original,d24ae2dd-8399-4b49-8441-3e0318aaf69a-1,1,22.2,https://open.canada.ca/data/en/dataset/d24ae2dd-8399-4b49-8441-3e0318aaf69a,,,,,
d41f9ec2-bf01-4b2a-bd8d-1b3a8424f534,27,Spouse or Common-Law Partner in Canada Advanced Analytics,Évaluation d'incidence algorithmique - Analytique avancée pour les époux ou conjoints de fait au Canada,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",050,cic,Various Branches at IRCC,1,Original,Original,d41f9ec2-bf01-4b2a-bd8d-1b3a8424f534-1,2,40.2,https://open.canada.ca/data/en/dataset/d41f9ec2-bf01-4b2a-bd8d-1b3a8424f534,,,,,
d5b89acc-5f2a-435d-b8f5-18002ba24c2a,28,Non-Competitive Local Licensing (NCLL),Licences non concurrentielles locales (LNCL),"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",033,ic,Spectrum and Telecommunications Sector (STS),1,Original,Original,d5b89acc-5f2a-435d-b8f5-18002ba24c2a-1,1,19.8,https://open.canada.ca/data/en/dataset/d5b89acc-5f2a-435d-b8f5-18002ba24c2a,,,,,
daa9ca66-566f-4c2e-a285-d2e217c2a00f,29,Record of Employments (ROE) Comments Assessment,Évaluation des commentaires des RE,Employment and Social Development Canada,Emploi et Développement social Canada,014,esdc-edsc,CDOB,1,Original,Original,daa9ca66-566f-4c2e-a285-d2e217c2a00f-1,1,24.6,https://open.canada.ca/data/en/dataset/daa9ca66-566f-4c2e-a285-d2e217c2a00f,,,,,
eaeb269c-6ac5-4429-a5aa-1fcc07c77933,30,Client Reporting and Engagement System (CRES/ReportIn) / Système de Rapports et d’engagement des Clients (SREC)/JeMePrésente,Évaluation d’incidence algorithmique - Système de Rapports et d’engagement des Clients (SREC)/JeMePrésente,Canada Border Services Agency,Agence des services frontaliers du Canada,085,cbsa-asfc,Intelligence and Enforcement / Renseignement et exécution de la loi,1,Original,Original,eaeb269c-6ac5-4429-a5aa-1fcc07c77933-1,2,50.0,https://open.canada.ca/data/en/dataset/eaeb269c-6ac5-4429-a5aa-1fcc07c77933,,,,,
f028d40f-3c0e-4a36-8a38-fe18d7aaaa32,31,Passport Program Modernization Initiative,Le processus décisionnel automatisé dans le Système mondial de gestion des cas (SMGC) d’IRCC,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",050,cic,Citizenship and Passport Programs,1,Original,Original,f028d40f-3c0e-4a36-8a38-fe18d7aaaa32-1,1,22.4,https://open.canada.ca/data/en/dataset/f028d40f-3c0e-4a36-8a38-fe18d7aaaa32,,,,,
f95dbd40-1236-428c-acd1-25b7559686be,32,Demandes des époux et des conjoints de la catégorie du regroupement familial à l’étranger,Demandes des époux et des conjoints de la catégorie du regroupement familial à l’étranger,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",050,cic,Diverses directions générales à IRCC,1,Original,Original,f95dbd40-1236-428c-acd1-25b7559686be-1,2,34.9,https://open.canada.ca/data/en/dataset/f95dbd40-1236-428c-acd1-25b7559686be,,,,,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,33,Algorithmic Impact Assessment - CBSA Assessment and Revenue Management (CARM),L'évaluation de l'incidence algorithmique - Gestion des cotisations et des recettes de l'ASFC (GCRA),Canada Border Services Agency,Agence des services frontaliers du Canada,cbsa-asfc,cbsa-asfc,,1,Original,Original,44fe9b0d-d730-43cf-ba7e-d952d55f88f2-1,1,22.2,https://open.canada.ca/data/en/dataset/44fe9b0d-d730-43cf-ba7e-d952d55f88f2,,,,,
7612202f-1530-41ce-80c7-6e121f5fcadc,34,Algorithmic Impact Assessments Results - Voice 2 Text application,Résultats des évaluations algorithmiques de l’impact - application voix en texte,Royal Canadian Mounted Police,Gendarmerie royale du Canada,rcmp-grc,rcmp-grc,,1,Original,Original,7612202f-1530-41ce-80c7-6e121f5fcadc-1,1,22.2,https://open.canada.ca/data/en/dataset/7612202f-1530-41ce-80c7-6e121f5fcadc,,,,,
89898244-aaae-4591-ba9b-fe5cd81d5924,35,Algorithmic Impact Assessment Results - Griffeye Tool,Résultats de l'évaluation de l'incidence algorithmique - Outil Griffeye,Royal Canadian Mounted Police,Gendarmerie royale du Canada,rcmp-grc,rcmp-grc,,1,Original,Original,89898244-aaae-4591-ba9b-fe5cd81d5924-1,2,31.0,https://open.canada.ca/data/en/dataset/89898244-aaae-4591-ba9b-fe5cd81d5924,,,,,
b8a34d1b-d27f-4506-973c-d2ea2f68c623,36,Algorithmic Impact Assessment - CBSA Traveller Compliance Indicator,Évaluation de l'incidence algorithmique - Indicateur de conformité de l'ASFC,Canada Border Services Agency,Agence des services frontaliers du Canada,cbsa-asfc,cbsa-asfc,,1,Original,Original,b8a34d1b-d27f-4506-973c-d2ea2f68c623-1,2,35.7,https://open.canada.ca/data/en/dataset/b8a34d1b-d27f-4506-973c-d2ea2f68c623,,,,,
c839bedc-0d5f-4b02-98a7-671d1f60ac51,37,Algorithmic Impact Assessment - Claim Summary Tool (CST),Résultats de l'évaluation de l'incidence algorithmique - Outil de Résumé de la Demande d'Indemnité d'Invalidité (ORDII),Veterans Affairs Canada,Anciens Combattants Canada,vac-acc,vac-acc,,1,Original,Original,c839bedc-0d5f-4b02-98a7-671d1f60ac51-1,2,33.5,https://open.canada.ca/data/en/dataset/c839bedc-0d5f-4b02-98a7-671d1f60ac51,,,,,
eed746a8-a682-47c2-86b1-b427398fa2e2,38,Algorithmic Impact Assessment - Export Compliance Dashboard,L'évaluation de l'incidence algorithmique - Tableau de bord de conformité des exportations,Canada Border Services Agency,Agence des services frontaliers du Canada,cbsa-asfc,cbsa-asfc,,1,Original,Original,eed746a8-a682-47c2-86b1-b427398fa2e2-1,1,23.8,https://open.canada.ca/data/en/dataset/eed746a8-a682-47c2-86b1-b427398fa2e2,,,,,
