submission_id,system_id,catalog_version,field_name,question_uid,point_type,points,answer_value_raw,option_index,answer_text_en,answer_text_fr,is_free_text,translation_source,mapped
1-1,1,0.10.0,impact8,17,raw,0,"Visitor records are temporary and do not entitle the holder to work, study or immigrate to Canada. A negative decision may impact a client's travel plans or ability to remain in Canada. This impact, however, is likely to be temporary as clients whose application is refused can re-apply. IRCC approves many clients with prior refusals. The impact of most refusals is not perpetual. However, it should be noted that although the system will automate the approval of the eligibility of some clients, it will not make nor recommend any decisions to refuse. Officers will continue to make all decisions related to admissibility and all final decisions to approve or refuse.",,"Visitor records are temporary and do not entitle the holder to work, study or immigrate to Canada. A negative decision may impact a client's travel plans or ability to remain in Canada. This impact, however, is likely to be temporary as clients whose application is refused can re-apply. IRCC approves many clients with prior refusals. The impact of most refusals is not perpetual. However, it should be noted that although the system will automate the approval of the eligibility of some clients, it will not make nor recommend any decisions to refuse. Officers will continue to make all decisions related to admissibility and all final decisions to approve or refuse.","Les fiches de visiteur sont temporaires et n’autorisent pas leur titulaire à travailler, à étudier, ni à immigrer au Canada. Une décision négative peut avoir une incidence sur les projets de voyage d'un client ou sur sa capacité à rester au Canada. Cet impact, cependant, est susceptible d'être temporaire, car les clients dont la demande est refusée peuvent présenter une nouvelle demande. IRCC approuve les demandes de nombreux clients ayant des refus antérieurs. L’incidence de la plupart des refus n’est pas permanente. Toutefois, il faut noter que bien que le système automatisera l’approbation de la recevabilité de certains clients, il ne rendra pas de refus ni ne recommandera un refus.",Y,submitted_translation,Y
1-1,1,0.10.0,impact9,18,raw,1,item1-1,0,Little to no impact,Incidence faible ou nulle,N,catalog,Y
1-1,1,0.10.0,impact10,17,raw,0,"The system assesses data elements in incoming applications in order to triage (sort) applications based on complexity and automate positive eligibility determinations for applications with low complexity. The system is expected to have a low impact on the rights and freedoms of individuals, as the sorting of applications and facilitating approvals do not deny the rights of any clients. 

To ensure fairness and transparency, the system’s rules are based only on data elements with a clear link to legislative and regulatory requirements, and the system never refuses applications, nor does it recommend refusals. All refusals continue to be done by officers as per the current practice. All applications where eligibility cannot be approved automatically by the system will receive a full assessment by officers in accordance with standard practice. For applications where the positive eligibility determination is automated by the system, the system determines only that an applicant is eligible, before the application is sent to an officer to screen for admissibility. Thus, even in cases where the system approves the eligibility, officers continue to make all final decisions. 

Measures are also in place to mitigate against the potential risk that the triage function could influence officer decision-making. There is deliberate separation of officers from the system: officers are not aware of the rules used by the system, nor do they receive information about the analysis performed by the system. This separation mitigates the risk that officers could be unduly influenced by the system’s outputs (also known as “automation bias”). Additionally, an ongoing quality assurance process has been implemented to monitor whether officers make the same positive eligibility determinations as the system. This process ensures that biases have not been introduced by the system.

As a further safeguard, system rules go through an extensive review process. Before they are introduced, and at regular intervals afterward, rules are reviewed by experienced officers, legal, policy, and data science experts, as well as senior executives to ensure they are logical, understandable, non-discriminatory and aligned with established eligibility criteria. Regular monitoring and quality assurance measures also help make sure the system performs as intended and that any unforeseen negative impacts such as bias or discrimination can be identified early and mitigated.",,"The system assesses data elements in incoming applications in order to triage (sort) applications based on complexity and automate positive eligibility determinations for applications with low complexity. The system is expected to have a low impact on the rights and freedoms of individuals, as the sorting of applications and facilitating approvals do not deny the rights of any clients. 

To ensure fairness and transparency, the system’s rules are based only on data elements with a clear link to legislative and regulatory requirements, and the system never refuses applications, nor does it recommend refusals. All refusals continue to be done by officers as per the current practice. All applications where eligibility cannot be approved automatically by the system will receive a full assessment by officers in accordance with standard practice. For applications where the positive eligibility determination is automated by the system, the system determines only that an applicant is eligible, before the application is sent to an officer to screen for admissibility. Thus, even in cases where the system approves the eligibility, officers continue to make all final decisions. 

Measures are also in place to mitigate against the potential risk that the triage function could influence officer decision-making. There is deliberate separation of officers from the system: officers are not aware of the rules used by the system, nor do they receive information about the analysis performed by the system. This separation mitigates the risk that officers could be unduly influenced by the system’s outputs (also known as “automation bias”). Additionally, an ongoing quality assurance process has been implemented to monitor whether officers make the same positive eligibility determinations as the system. This process ensures that biases have not been introduced by the system.

As a further safeguard, system rules go through an extensive review process. Before they are introduced, and at regular intervals afterward, rules are reviewed by experienced officers, legal, policy, and data science experts, as well as senior executives to ensure they are logical, understandable, non-discriminatory and aligned with established eligibility criteria. Regular monitoring and quality assurance measures also help make sure the system performs as intended and that any unforeseen negative impacts such as bias or discrimination can be identified early and mitigated.","Le système évalue les éléments de données dans les demandes entrantes
afin de trier les demandes en fonction de leur complexité et d'automatiser les
déterminations positives la recevabilité pour les demandes peu complexes.
Le système devrait avoir un faible impact sur les droits et libertés des
individus, car le triage des demandes et la facilitation des approbations ne nient les droits d’aucun client.

Pour assurer l'équité et la transparence, les règles du système sont basées
uniquement sur des éléments de données ayant un lien clair avec les exigences législatives et réglementaires, et le système ne refuse jamais les
demandes, ni ne recommande de refus. Tous les refus continuent d'être
effectués par les agents conformément à la pratique actuelle. Toutes les
demandes dont la recevabilité ne peut pas être approuvée automatiquement
par le système feront l'objet d'une évaluation complète par des agents
conformément à la pratique courante. Pour les demandes où la détermination
positive de la recevabilité est automatisée par le système, le système
détermine seulement qu'un demandeur est recevable, avant que la demande
ne soit envoyée à un agent pour la vérification de l’interdiction de territoire.
Ainsi, même dans les cas où le système approuve la recevabilité, les agents
continuent de prendre toutes les décisions finales.

Des mesures sont également en place pour atténuer le risque potentiel que la
fonction de triage puisse influencer la prise de décision des agents. Il y a une
séparation délibérée des agents du système: les agents ne sont pas au courant des règles utilisées par le système, et ils ne reçoivent pas non plus
d'informations sur l'analyse effectuée par le système. Cette séparation
atténue le risque que les agents soient indûment influencés par les sorties du
système (également connu sous le nom de « biais d'automatisation »). En
outre, un processus continu d'assurance de la qualité a été mis en place pour
examiner si les agents prennent les mêmes décisions de recevabilité positives
que le système. Ce processus garantit que des biais n'ont pas été introduits
par le système.

Comme protection supplémentaire, les règles du système sont soumises à un
processus de révision approfondi. Avant leur introduction, et à intervalles
réguliers par la suite, les règles sont examinées par des agents expérimentés,
des experts en droit, en politique et en science des données, ainsi que des
cadres supérieurs pour s'assurer qu'elles sont logiques, compréhensibles, non
discriminatoires et alignées sur les critères d'éligibilité établis. Des mesures
régulières de surveillance et d'assurance de la qualité permettent également
de s'assurer que le système fonctionne comme prévu et que tout impact
négatif imprévu, tel que la partialité ou la discrimination, peut être identifié tôt
et atténué.",Y,submitted_translation,Y
1-1,1,0.10.0,impact11,69,raw,1,item1-1,0,Little to no impact,Incidence faible ou nulle,N,catalog,Y
1-1,1,0.10.0,impact12,17,raw,0,The system is expected to have little to no negative impact on the health and well-being of individuals as it will be used to triage applications and to automate certain positive eligibility determinations.,,The system is expected to have little to no negative impact on the health and well-being of individuals as it will be used to triage applications and to automate certain positive eligibility determinations.,"On s’attend à ce que le système ait peu ou pas d’incidence négative sur la santé et le bien-être des personnes, car il sera utilisé pour trier les demandes et automatiser certaines décisions favorables concernant l’admissibilité.",Y,submitted_translation,Y
1-1,1,0.10.0,impact13,69,raw,1,item1-1,0,Little to no impact,Incidence faible ou nulle,N,catalog,Y
1-1,1,0.10.0,impact14,17,raw,0,The system is expected to have little to no negative impact on the economic interests of individuals as it will be used to triage applications and to automate certain positive eligibility determinations.,,The system is expected to have little to no negative impact on the economic interests of individuals as it will be used to triage applications and to automate certain positive eligibility determinations.,"On s’attend à ce que le système ait peu ou pas d’incidence négative sur les intérêts économiques des personnes, car il sera utilisé pour trier les demandes et automatiser certaines décisions favorables concernant
l’admissibilité.",Y,submitted_translation,Y
1-1,1,0.10.0,impact15,19,raw,1,item1-1,0,Little to no impact,Incidence faible ou nulle,N,catalog,Y
1-1,1,0.10.0,impact16,17,raw,0,The system is expected to have little to no negative impact on the environment as it will be used to triage applications and to automate certain positive eligibility determinations. ,,The system is expected to have little to no negative impact on the environment as it will be used to triage applications and to automate certain positive eligibility determinations. ,"On s’attend à ce que le système ait peu ou pas d’incidence négative sur
l’environnement, car il sera utilisé pour trier les demandes et automatiser certaines décisions favorables concernant l’admissibilité.",Y,submitted_translation,Y
1-1,1,0.10.0,aboutDataSource1,20,raw,4,item1-4,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,aboutDataSource9,73,raw,0,item1-0,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,aboutDataSource10,74,raw,2,item1-2,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,aboutDataSource11,75,raw,0,item1-0,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,aboutDataSource2,21,raw,3,item4-3,3,Protected B / Protected C,Protégé B/Protégé C,N,catalog,Y
1-1,1,0.10.0,aboutDataSource3,22,raw,1,item2-1,1,Federal government,Gouvernement fédéral,N,catalog,Y
1-1,1,0.10.0,aboutDataSource4,23,raw,4,item1-4,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,aboutDataSource5,24,raw,0,item2-0,1,No,Non,N,catalog,Y
1-1,1,0.10.0,aboutDataSource6,25,raw,4,item1-4,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,aboutDataSource7,26,raw,1,item1-1,0,Your institution,Votre institution,N,catalog,Y
1-1,1,0.10.0,aboutDataSource8,26,raw,1,item1-1,0,Your institution,Votre institution,N,catalog,Y
1-1,1,0.10.0,aboutDataType1,27,raw,0,item1,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,aboutDataType2,28,raw,2,"[""item1-2""]",0,Audio and text files,Fichiers audio et textuels,N,catalog,Y
1-1,1,0.10.0,consultationImplementation1,61,mitigation,1,item1-1,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,consultationImplementation2,62,mitigation,0,"[""item2"", ""item4"", ""item5"", ""item6"", ""item7"", ""item8"", ""item9""]",0;2;3;4;5;6;15,Strategic Policy and Planning;Program Policy;Legal Services;Access to Information and Privacy Office;Communications services;Client Experience / Client Relationship Management;Other (describe),Politique et planification stratégiques;Politique du programme;Services légaux;Bureau de l'accès à l'information et de la protection des renseignements personnels;Services des communications;Expérience client / Gestion de la relation client;Autre (décrire),N,catalog,Y
1-1,1,0.10.0,consultationImplementation2-other,76,mitigation,0,"- Integrity Risk Management 
- Centralized Network 
- GBA+  ",,"- Integrity Risk Management 
- Centralized Network 
- GBA+  ","- Gestion des risques pour l’intégrité
- Réseau centralisé 
- ACS+",Y,submitted_translation,Y
1-1,1,0.10.0,consultationImplementation3,63,mitigation,1,item1-1,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,consultationImplementation4,64,mitigation,0,"[""item10"", ""item7"", ""item9""]",1;8,Academia;Other (describe),Milieu universitaire;Autre (décrire),N,catalog,Y
1-1,1,0.10.0,consultationImplementation4-other,76,mitigation,0,"- Statistics Canada
- Immigration lawyers",,"- Statistics Canada
- Immigration lawyers","- Statistique Canada
- Avocats en immigration",Y,submitted_translation,Y
1-1,1,0.10.0,dataQualityImplementation1,67,mitigation,2,item1-2,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,dataQualityImplementation2,66,mitigation,0,item2-0,1,No,Non,N,catalog,Y
1-1,1,0.10.0,dataQualityImplementation3,30,mitigation,1,item1-1,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,dataQualityImplementation4,66,mitigation,0,item2-0,1,No,Non,N,catalog,Y
1-1,1,0.10.0,dataQualityImplementation5,31,mitigation,1,item1-1,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,dataQualityImplementation6,66,mitigation,0,item2-0,1,No,Non,N,catalog,Y
1-1,1,0.10.0,dataQualityImplementation7,32,mitigation,2,item1-2,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,dataQualityImplementation8,33,mitigation,2,item1-2,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,dataQualityImplementation9,66,mitigation,0,item2-0,1,No,Non,N,catalog,Y
1-1,1,0.10.0,dataQualityImplementation10,34,mitigation,0,item2-0,1,No,Non,N,catalog,Y
1-1,1,0.10.0,fairnessImplementation1,68,mitigation,1,item1-1,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,fairnessImplementation2,36,mitigation,2,item1-2,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,fairnessImplementation3,37,mitigation,2,item1-2,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,fairnessImplementation4,38,mitigation,1,item1-1,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,fairnessImplementation5,39,mitigation,2,item1-2,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,fairnessImplementation6,40,mitigation,1,item1-1,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,fairnessImplementation7,41,mitigation,1,item1-1,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,fairnessImplementation8,42,mitigation,2,item1-2,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,fairnessImplementation9,43,mitigation,1,item1-1,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,fairnessImplementation10,44,mitigation,2,item1-2,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,fairnessImplementation11,45,mitigation,1,item1-1,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,fairnessImplementation12,46,mitigation,1,item1-1,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,fairnessImplementation13,42,mitigation,2,item1-2,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,fairnessImplementation14,43,mitigation,2,item1-2,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,fairnessImplementation15,44,mitigation,1,item1-1,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,fairnessImplementation16,45,mitigation,2,item1-2,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,fairnessImplementation17,46,mitigation,0,item2-0,1,No,Non,N,catalog,Y
1-1,1,0.10.0,privacyImplementation1,71,mitigation,0,item2-0,1,No,Non,N,catalog,Y
1-1,1,0.10.0,privacyImplementation2,72,mitigation,1,item1-1,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,privacyImplementation3,77,mitigation,0,item2-0,1,No,Non,N,catalog,Y
1-1,1,0.10.0,privacyImplementation4,78,mitigation,0,item2-0,1,No,Non,N,catalog,Y
1-1,1,0.10.0,decisionSector3,91,raw,0,"The system can automate the approval of the eligibility portion of certain visitor record applications. For these applications, the system determines only that the applicant is eligible before the application is sent to an officer to screen for admissibility. In cases where eligibility is auto-approved, officers continue to make the admissibility determination and the final decision on each application. If an officer encounters information in the course of their admissibility assessment that may affect the positive eligibility determination of an application, they may revisit the eligibility determination. 

For applications that do not have the eligibility portion automatically approved by the system, both the eligibility and admissibility portions are done manually by officers. The automated system makes no recommendations regarding eligibility. Consequently, final decisions to approve or refuse are based wholly on manual review by experienced officers.

The system never refuses applications, nor does it recommend refusals.

All applications continue to receive an individualized assessment. ",,"The system can automate the approval of the eligibility portion of certain visitor record applications. For these applications, the system determines only that the applicant is eligible before the application is sent to an officer to screen for admissibility. In cases where eligibility is auto-approved, officers continue to make the admissibility determination and the final decision on each application. If an officer encounters information in the course of their admissibility assessment that may affect the positive eligibility determination of an application, they may revisit the eligibility determination. 

For applications that do not have the eligibility portion automatically approved by the system, both the eligibility and admissibility portions are done manually by officers. The automated system makes no recommendations regarding eligibility. Consequently, final decisions to approve or refuse are based wholly on manual review by experienced officers.

The system never refuses applications, nor does it recommend refusals.

All applications continue to receive an individualized assessment. ","Le système peut automatiser l'approbation de la partie recevabilité de certaines demandes de fiche du visiteur. Pour ces demandes, le système détermine seulement si le demandeur est recevable avant que la demande ne soit envoyée à un agent pour vérifier s’il y a interdiction de territoire. Dans les cas où la recevabilité est approuvée automatiquement, les agents continuent de vérifier s’il y a interdiction de territoire et de prendre la décision
finale sur chaque demande. Si un agent découvre, au cours de la vérification de l’interdiction de territoire, des renseignements pouvant avoir une incidence
sur la détermination positive de la recevabilité d'une demande, il peut revoir la détermination de la recevabilité.

Pour les demandes dont la partie recevabilité n'est pas automatiquement
approuvée par le système, les parties recevabilité et interdiction de territoire
sont traitées manuellement par les agents. Le système automatisé ne fait
aucune recommandation concernant la recevabilité. Par conséquent, les décisions finales d’approbation ou de refus reposent entièrement sur un examen manuel par des agents expérimentés.

Le système ne refuse jamais les demandes, ni ne recommande de refus.",Y,submitted_translation,Y
2-1,2,0.10.0,projectDetailsRespondent,1,none,0,Various Stakeholders at IRCC,,Various Stakeholders at IRCC,Divers répondants à IRCC,Y,submitted_translation,Y
2-1,2,0.10.0,projectDetailsJob,2,none,0,N/A,,N/A,S.O.,Y,submitted_translation,Y
2-1,2,0.10.0,projectDetailsDepartment-NS,3,none,0,050,38,Citizenship and Immigration (Department of),Citoyenneté et de l'Immigration (Ministère de la),N,catalog,Y
2-1,2,0.10.0,projectDetailsBranch,4,none,0,Operations Planning and Performance Branch,,Operations Planning and Performance Branch,Planification et rendement des opérations,Y,submitted_translation,Y
2-1,2,0.10.0,projectDetailsTitle,5,none,0,Automated Triage and Positive Eligibility Determinations of In-Canada Work Permit Applications,,Automated Triage and Positive Eligibility Determinations of In-Canada Work Permit Applications,Triage et déterminations positives de la recevabilité automatisés des demandes de permis de travail pour les demandeurs au Canada,Y,submitted_translation,Y
2-1,2,0.10.0,projectDetailsID,49,none,0,N/A,,N/A,S.O.,Y,submitted_translation,Y
2-1,2,0.10.0,projectDetailsProgram,50,none,0,Temporary Workers,,Temporary Workers,Travailleurs temporaires,Y,submitted_translation,Y
2-1,2,0.10.0,projectDetailsPhase,51,none,0,item2,1,Implementation,Mise en oeuvre,N,catalog,Y
